# MU = distance modulus corrected for bias and contamination
# MUERR = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 0  # flag for cosmology fitter to choose blind option # 5785
zCMB zHEL MU MUERR MUERR_SYS
5.358999999999999875e-02 5.358999999999999875e-02 3.690500999999999721e+01 1.034000000000000058e-01 7.040000000000000251e-03
5.367000000000000243e-02 5.367000000000000243e-02 3.689056999999999675e+01 1.098999999999999977e-01 6.930000000000000396e-03
5.372999999999999998e-02 5.372999999999999998e-02 3.667459999999999809e+01 1.068000000000000060e-01 6.969999999999999633e-03
5.430999999999999717e-02 5.430999999999999717e-02 3.710298000000000229e+01 1.111000000000000043e-01 6.749999999999999924e-03
5.437999999999999778e-02 5.437999999999999778e-02 3.698604000000000269e+01 1.043000000000000038e-01 6.660000000000000121e-03
5.442999999999999922e-02 5.442999999999999922e-02 3.670398999999999745e+01 1.097000000000000058e-01 7.289999999999999605e-03
5.453000000000000208e-02 5.453000000000000208e-02 3.706522999999999968e+01 1.126999999999999946e-01 6.519999999999999754e-03
5.453999999999999820e-02 5.453999999999999820e-02 3.708735000000000070e+01 1.122999999999999970e-01 6.769999999999999976e-03
5.467999999999999944e-02 5.467999999999999944e-02 3.716295000000000215e+01 1.057000000000000023e-01 6.610000000000000424e-03
5.471999999999999781e-02 5.471999999999999781e-02 3.695186000000000348e+01 1.139000000000000012e-01 7.040000000000000251e-03
5.482999999999999680e-02 5.482999999999999680e-02 3.688206000000000273e+01 1.077000000000000041e-01 6.490000000000000109e-03
5.498000000000000109e-02 5.498000000000000109e-02 3.686621999999999844e+01 1.250000000000000000e-01 7.000000000000000146e-03
5.498000000000000109e-02 5.498000000000000109e-02 3.707103000000000037e+01 1.035999999999999976e-01 7.239999999999999908e-03
5.507000000000000089e-02 5.507000000000000089e-02 3.685233999999999810e+01 1.062000000000000027e-01 6.570000000000000319e-03
5.548000000000000154e-02 5.548000000000000154e-02 3.679758000000000351e+01 1.072000000000000036e-01 6.519999999999999754e-03
5.553999999999999909e-02 5.553999999999999909e-02 3.698662000000000205e+01 1.150999999999999940e-01 7.179999999999999750e-03
5.559000000000000052e-02 5.559000000000000052e-02 3.696681999999999846e+01 1.136999999999999955e-01 6.799999999999999621e-03
5.578000000000000319e-02 5.578000000000000319e-02 3.712655000000000172e+01 1.058000000000000052e-01 7.000000000000000146e-03
5.589999999999999830e-02 5.589999999999999830e-02 3.683803000000000338e+01 1.165000000000000063e-01 6.729999999999999871e-03
5.593000000000000055e-02 5.593000000000000055e-02 3.704433999999999827e+01 1.150999999999999940e-01 6.989999999999999686e-03
5.598000000000000198e-02 5.598000000000000198e-02 3.697265000000000157e+01 1.131999999999999951e-01 6.590000000000000371e-03
5.632999999999999813e-02 5.632999999999999813e-02 3.702087999999999823e+01 1.073000000000000065e-01 6.799999999999999621e-03
5.648000000000000242e-02 5.648000000000000242e-02 3.700892999999999944e+01 1.042000000000000010e-01 6.700000000000000226e-03
5.650999999999999773e-02 5.650999999999999773e-02 3.696206000000000103e+01 1.039000000000000062e-01 6.910000000000000343e-03
5.671999999999999958e-02 5.671999999999999958e-02 3.701366999999999763e+01 1.152999999999999997e-01 7.329999999999999710e-03
5.673000000000000265e-02 5.673000000000000265e-02 3.703061999999999898e+01 1.713000000000000078e-01 6.709999999999999819e-03
5.675000000000000183e-02 5.675000000000000183e-02 3.705790999999999968e+01 1.059999999999999970e-01 7.389999999999999868e-03
5.677999999999999714e-02 5.677999999999999714e-02 3.715879999999999939e+01 1.292000000000000093e-01 6.890000000000000291e-03
5.679000000000000020e-02 5.679000000000000020e-02 3.698606000000000193e+01 1.062000000000000027e-01 6.830000000000000134e-03
5.696999999999999981e-02 5.696999999999999981e-02 3.712431999999999732e+01 1.107999999999999957e-01 7.289999999999999605e-03
5.709999999999999798e-02 5.709999999999999798e-02 3.703065000000000140e+01 1.170000000000000068e-01 6.440000000000000412e-03
5.718000000000000166e-02 5.718000000000000166e-02 3.694438000000000244e+01 1.118999999999999995e-01 7.150000000000000105e-03
5.718999999999999778e-02 5.718999999999999778e-02 3.708767999999999887e+01 1.055999999999999994e-01 7.020000000000000198e-03
5.727000000000000146e-02 5.727000000000000146e-02 3.686876999999999782e+01 1.179000000000000048e-01 6.459999999999999597e-03
5.730999999999999983e-02 5.730999999999999983e-02 3.700697000000000259e+01 1.174999999999999933e-01 6.700000000000000226e-03
5.757000000000000312e-02 5.757000000000000312e-02 3.714623999999999882e+01 1.039000000000000062e-01 6.490000000000000109e-03
5.763000000000000067e-02 5.763000000000000067e-02 3.689162999999999926e+01 1.042000000000000010e-01 6.709999999999999819e-03
5.781000000000000028e-02 5.781000000000000028e-02 3.685412000000000177e+01 1.054999999999999966e-01 6.859999999999999779e-03
5.793000000000000232e-02 5.793000000000000232e-02 3.702324000000000126e+01 1.066000000000000003e-01 6.450000000000000004e-03
5.804000000000000131e-02 5.804000000000000131e-02 3.729231999999999658e+01 1.333000000000000018e-01 7.069999999999999896e-03
5.806000000000000050e-02 5.806000000000000050e-02 3.697644999999999982e+01 1.020999999999999963e-01 6.610000000000000424e-03
5.818000000000000255e-02 5.818000000000000255e-02 3.691174000000000177e+01 1.082000000000000045e-01 6.420000000000000359e-03
5.870000000000000218e-02 5.870000000000000218e-02 3.712190999999999974e+01 1.724999999999999867e-01 6.629999999999999609e-03
5.872000000000000136e-02 5.872000000000000136e-02 3.709747000000000128e+01 1.087000000000000050e-01 6.329999999999999689e-03
5.875999999999999973e-02 5.875999999999999973e-02 3.722023999999999688e+01 1.140999999999999931e-01 6.890000000000000291e-03
5.875999999999999973e-02 5.875999999999999973e-02 3.710763000000000034e+01 1.053000000000000047e-01 7.360000000000000223e-03
5.877999999999999892e-02 5.877999999999999892e-02 3.717569000000000301e+01 1.193000000000000033e-01 6.669999999999999714e-03
5.879000000000000198e-02 5.879000000000000198e-02 3.719465999999999894e+01 1.224999999999999978e-01 6.850000000000000186e-03
5.879999999999999810e-02 5.879999999999999810e-02 3.722169000000000239e+01 1.044000000000000067e-01 7.009999999999999738e-03
5.883000000000000035e-02 5.883000000000000035e-02 3.697301000000000215e+01 1.534999999999999976e-01 7.069999999999999896e-03
5.884000000000000341e-02 5.884000000000000341e-02 3.711641000000000190e+01 1.045999999999999985e-01 7.159999999999999698e-03
5.888000000000000178e-02 5.888000000000000178e-02 3.723752999999999957e+01 1.020999999999999963e-01 6.740000000000000331e-03
5.888999999999999790e-02 5.888999999999999790e-02 3.700404000000000337e+01 1.155000000000000054e-01 7.110000000000000001e-03
5.897000000000000158e-02 5.897000000000000158e-02 3.723297000000000168e+01 1.044000000000000067e-01 6.709999999999999819e-03
5.899999999999999689e-02 5.899999999999999689e-02 3.712910999999999717e+01 1.033000000000000029e-01 6.779999999999999569e-03
5.904000000000000220e-02 5.904000000000000220e-02 3.711782999999999788e+01 1.223000000000000059e-01 7.320000000000000118e-03
5.906000000000000139e-02 5.906000000000000139e-02 3.714209000000000316e+01 1.015999999999999959e-01 7.049999999999999843e-03
5.913000000000000200e-02 5.913000000000000200e-02 3.693970999999999805e+01 1.043000000000000038e-01 6.810000000000000081e-03
5.915999999999999731e-02 5.915999999999999731e-02 3.712724000000000046e+01 1.038000000000000034e-01 7.020000000000000198e-03
5.918999999999999956e-02 5.918999999999999956e-02 3.717576999999999998e+01 1.063000000000000056e-01 6.830000000000000134e-03
5.926000000000000018e-02 5.926000000000000018e-02 3.716624999999999801e+01 1.039000000000000062e-01 6.590000000000000371e-03
5.933999999999999692e-02 5.933999999999999692e-02 3.715254000000000190e+01 1.030999999999999972e-01 6.479999999999999649e-03
5.940000000000000141e-02 5.940000000000000141e-02 3.709355000000000047e+01 1.158000000000000002e-01 6.450000000000000004e-03
5.945000000000000284e-02 5.945000000000000284e-02 3.695844000000000307e+01 1.060999999999999999e-01 6.329999999999999689e-03
5.947000000000000203e-02 5.947000000000000203e-02 3.714623999999999882e+01 1.052000000000000018e-01 6.700000000000000226e-03
5.956999999999999795e-02 5.956999999999999795e-02 3.735473999999999961e+01 1.106000000000000039e-01 7.309999999999999658e-03
5.963999999999999857e-02 5.963999999999999857e-02 3.703560000000000230e+01 1.040999999999999981e-01 6.969999999999999633e-03
5.981000000000000205e-02 5.981000000000000205e-02 3.722068000000000154e+01 1.024999999999999939e-01 6.660000000000000121e-03
6.011999999999999983e-02 6.011999999999999983e-02 3.723387000000000313e+01 1.047000000000000014e-01 6.930000000000000396e-03
6.029999999999999943e-02 6.029999999999999943e-02 3.735828999999999667e+01 1.139000000000000012e-01 6.559999999999999859e-03
6.033000000000000168e-02 6.033000000000000168e-02 3.711899999999999977e+01 1.149000000000000021e-01 7.110000000000000001e-03
6.053000000000000047e-02 6.053000000000000047e-02 3.722704999999999842e+01 1.158000000000000002e-01 7.150000000000000105e-03
6.060000000000000109e-02 6.060000000000000109e-02 3.726106000000000051e+01 1.037000000000000005e-01 6.839999999999999726e-03
6.081999999999999906e-02 6.081999999999999906e-02 3.713817000000000235e+01 1.058999999999999941e-01 7.349999999999999763e-03
6.087999999999999662e-02 6.087999999999999662e-02 3.723888999999999783e+01 1.055999999999999994e-01 6.779999999999999569e-03
